no,name,brand,category,img,emoji,has_settings,inputs,outputs,func,ports_raw
1,Sony Alpha a7S III,Sony,Kamera Utama,,🔧,0,Full HDMI|HDMI; USB-C|USB; 3.5mm|Audio,,Kamera mirrorless low-light terbaik untuk studio gelap (4K 60fps),"Full HDMI, USB-C, 3.5mm"
2,Panasonic Lumix BGH1,Panasonic,Kamera Utama,,🔧,0,SDI|SDI; HDMI|HDMI; LAN (PoE)|LAN,,Kamera box khusus broadcast tanpa layar untuk streaming durasi panjang,"SDI, HDMI, LAN (PoE)"
3,Sony FX3,Sony,Kamera Utama,,🔧,0,Full HDMI|HDMI; XLR Handle|Audio,,Kamera sinema ringkas dengan kipas internal anti overheat,"Full HDMI, XLR Handle"
4,Canon EOS R5 C,Canon,Kamera Utama,/images_real/real_0003.jpg,🔧,0,Micro HDMI|HDMI; Timecode|SDI,,Kamera hybrid 8K dengan sistem pendingin aktif,"Micro HDMI, Timecode"
5,Blackmagic Pocket Cinema 4K,Blackmagic,Kamera Utama,/images_real/real_0004.jpg,🔧,0,Full HDMI|HDMI; Mini XLR|Audio,,Wajib di studio dengan tata cahaya terang untuk hasil sinematik,"Full HDMI, Mini XLR"
6,PTZOptics 30X-SDI Gen 2,PTZOptics,Kamera PTZ,,🔧,0,3G-SDI|SDI; HDMI|HDMI; IP|LAN,,Kamera multi-angle zoom 30x dikontrol dari meja operator,"3G-SDI, HDMI, IP"
7,Sony SRG-X400,Sony,Kamera PTZ,,🔧,0,SDI|SDI; HDMI|HDMI; NDI|LAN,,Kamera pan-tilt-zoom untuk panggung/event besar,"SDI, HDMI, NDI"
8,OBSBOT Tail Air,OBSBOT,Kamera PTZ,,🔧,0,Micro HDMI|HDMI; USB-C|USB,,Kamera dengan auto-tracking AI mengikuti gerakan tubuh streamer,"Micro HDMI, USB-C"
9,Elgato Facecam Pro,Elgato,Webcam,,🔧,0,USB-C|USB,,Webcam 4K 60fps murni tanpa upscaling untuk setup ringkas,USB-C
10,Logitech Brio 4K,Logitech,Webcam,,🔧,0,USB-C|USB,,Mendukung fitur HDR dan pengaturan Field of View,USB-C
11,Insta360 Link,Insta360,Webcam,/images_real/real_0010.png,🔧,0,USB-C|USB,,Webcam dengan gimbal 3-axis yang bergerak mengikuti wajah,USB-C
12,GoPro HERO 12 Black,GoPro,Action Cam,,🔧,0,USB-C|USB,,Kamera tahan banting untuk streaming IRL outdoor,USB-C
13,Sigma 16mm f/1.4 DC DN,Sigma,Lensa (Sony),,🔧,0,E-Mount|Other,,Lensa prime wide-angle untuk efek background blur di ruangan sempit,E-Mount
14,Lumix G X Vario 12-35mm f/2.8,Lumix,Lensa (Panasonic),,🔧,0,Micro Four Thirds|Audio,,Lensa standar untuk sistem kamera Lumix GH5/BGH1,Micro Four Thirds
15,K&F Concept Black Diffusion 1/4,K&F,Filter Lensa,/images_real/real_0014.jpg,🔧,0,Ulir Lensa|Other,,Melembutkan sorotan lampu (highlight) di wajah agar lebih sinematik,Ulir Lensa
16,KingMa Dummy Battery NP-FW50,KingMa,Power Kamera,,🔧,0,DC in ke Listrik|Power,,Adaptor baterai palsu agar kamera Sony tidak mati saat streaming,DC in ke Listrik
17,Andoer DMW-DCC12 Dummy,Andoer,Power Kamera,,🔧,0,DC in ke Listrik|Power,,Dummy battery khusus jajaran Panasonic Lumix,DC in ke Listrik
18,SmallRig NP-FZ100 USB-C,SmallRig,Power Kamera,,🔧,0,USB-C ke Dummy|USB,,Dummy battery tipe baru yang dicolokkan ke charger Power Delivery (PD),USB-C ke Dummy
19,Blackmagic ATEM Mini Pro ISO,Blackmagic,Video Switcher,,🔧,0,4x HDMI In|HDMI; 1x HDMI Out|HDMI; LAN|LAN,,Mengganti scene kamera fisik dan merekam semua input ke SSD,"4x HDMI In, 1x HDMI Out, LAN"
20,Roland V-1HD+,Roland,Video Switcher,,🔧,0,4x HDMI In|HDMI; Audio XLR In|Audio,,Switcher tangguh tahan panas untuk event streaming berhari-hari,"4x HDMI In, Audio XLR In"
21,FEELWORLD LIVEPRO L1 V1,FEELWORLD,Video Switcher,,🔧,0,4x HDMI In|HDMI; USB Out|USB,,Alternatif murah dengan layar preview terintegrasi di alat,"4x HDMI In, USB Out"
22,YoloBox Pro,YoloBox,Video Switcher,,🔧,0,3x HDMI In|HDMI; SIM Card|Other,,Alat streaming all-in-one lengkap dengan layar sentuh (tanpa PC),"3x HDMI In, SIM Card"
23,Elgato 4K60 Pro MK.2,Elgato,Capture Card Internal,,🔧,0,PCIe x4|Other; HDMI In & Out|HDMI,,Dipasang di dalam PC untuk merekam konsol PS5/Xbox 4K60fps,"PCIe x4, HDMI In & Out"
24,Blackmagic DeckLink Quad HDMI,Blackmagic,Capture Card Internal,,🔧,0,PCIe x8|Other; 4x HDMI In|HDMI,,Menangkap 4 input kamera sekaligus ke dalam vMix/OBS,"PCIe x8, 4x HDMI In"
25,AVerMedia Live Gamer 4K,AVerMedia,Capture Card Internal,/images_real/real_0024.jpg,🔧,0,PCIe x4|Other; HDMI In|HDMI,,Mendukung passthrough refresh rate 240Hz untuk monitor gaming,"PCIe x4, HDMI In"
